,District_Code,Sex,District,Neighborhood,Population,Neighborhood_Code,Academic_Qualification
198,8,Women,Nou Barris,la Prosperitat,3666,52,Elementary school / school graduate / ESO / FPI
199,8,Women,Nou Barris,la Trinitat Nova,1123,53,Elementary school / school graduate / ESO / FPI
200,8,Women,Nou Barris,Torre Baró,383,54,Elementary school / school graduate / ESO / FPI
201,8,Women,Nou Barris,Ciutat Meridiana,1541,55,Elementary school / school graduate / ESO / FPI
202,8,Women,Nou Barris,Vallbona,188,56,Elementary school / school graduate / ESO / FPI
203,9,Women,Sant Andreu,la Trinitat Vella,1280,57,Elementary school / school graduate / ESO / FPI
204,9,Women,Sant Andreu,Baró de Viver,396,58,Elementary school / school graduate / ESO / FPI
205,9,Women,Sant Andreu,el Bon Pastor,1732,59,Elementary school / school graduate / ESO / FPI
206,9,Women,Sant Andreu,Sant Andreu,6444,60,Elementary school / school graduate / ESO / FPI
207,9,Women,Sant Andreu,la Sagrera,3410,61,Elementary school / school graduate / ESO / FPI
208,9,Women,Sant Andreu,el Congrés i els Indians,1616,62,Elementary school / school graduate / ESO / FPI
209,9,Women,Sant Andreu,Navas,2552,63,Elementary school / school graduate / ESO / FPI
210,10,Women,Sant Martí,el Camp de l'Arpa del Clot,4033,64,Elementary school / school graduate / ESO / FPI
211,10,Women,Sant Martí,el Clot,2859,65,Elementary school / school graduate / ESO / FPI
212,10,Women,Sant Martí,el Parc i la Llacuna del Poblenou,1404,66,Elementary school / school graduate / ESO / FPI
213,10,Women,Sant Martí,la Vila Olímpica del Poblenou,533,67,Elementary school / school graduate / ESO / FPI
214,10,Women,Sant Martí,el Poblenou,2892,68,Elementary school / school graduate / ESO / FPI
215,10,Women,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,974,69,Elementary school / school graduate / ESO / FPI
216,10,Women,Sant Martí,el Besòs i el Maresme,3080,70,Elementary school / school graduate / ESO / FPI
217,10,Women,Sant Martí,Provençals del Poblenou,2297,71,Elementary school / school graduate / ESO / FPI
218,10,Women,Sant Martí,Sant Martí de Provençals,3141,72,Elementary school / school graduate / ESO / FPI
219,10,Women,Sant Martí,la Verneda i la Pau,3775,73,Elementary school / school graduate / ESO / FPI
220,1,Women,Ciutat Vella,el Raval,3738,1,High school / BUP / COU / FPII / CFGM Intermediate Grade
221,1,Women,Ciutat Vella,el Barri Gòtic,1796,2,High school / BUP / COU / FPII / CFGM Intermediate Grade
222,1,Women,Ciutat Vella,la Barceloneta,1504,3,High school / BUP / COU / FPII / CFGM Intermediate Grade
223,1,Women,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",2215,4,High school / BUP / COU / FPII / CFGM Intermediate Grade
224,2,Women,Eixample,el Fort Pienc,3814,5,High school / BUP / COU / FPII / CFGM Intermediate Grade
225,2,Women,Eixample,la Sagrada Família,6076,6,High school / BUP / COU / FPII / CFGM Intermediate Grade
226,2,Women,Eixample,la Dreta de l'Eixample,5025,7,High school / BUP / COU / FPII / CFGM Intermediate Grade
227,2,Women,Eixample,l'Antiga Esquerra de l'Eixample,4961,8,High school / BUP / COU / FPII / CFGM Intermediate Grade
228,2,Women,Eixample,la Nova Esquerra de l'Eixample,6756,9,High school / BUP / COU / FPII / CFGM Intermediate Grade
229,2,Women,Eixample,Sant Antoni,4248,10,High school / BUP / COU / FPII / CFGM Intermediate Grade
230,3,Women,Sants-Montjuïc,el Poble Sec,3902,11,High school / BUP / COU / FPII / CFGM Intermediate Grade
231,3,Women,Sants-Montjuïc,la Marina del Prat Vermell,65,12,High school / BUP / COU / FPII / CFGM Intermediate Grade
232,3,Women,Sants-Montjuïc,la Marina de Port,3166,13,High school / BUP / COU / FPII / CFGM Intermediate Grade
233,3,Women,Sants-Montjuïc,la Font de la Guatlla,1127,14,High school / BUP / COU / FPII / CFGM Intermediate Grade
234,3,Women,Sants-Montjuïc,Hostafrancs,1651,15,High school / BUP / COU / FPII / CFGM Intermediate Grade
235,3,Women,Sants-Montjuïc,la Bordeta,2094,16,High school / BUP / COU / FPII / CFGM Intermediate Grade
236,3,Women,Sants-Montjuïc,Sants - Badal,2656,17,High school / BUP / COU / FPII / CFGM Intermediate Grade
237,3,Women,Sants-Montjuïc,Sants,4636,18,High school / BUP / COU / FPII / CFGM Intermediate Grade
238,7,Men,Horta-Guinardó,Horta,222,43,No records
239,4,Women,Les Corts,les Corts,5550,19,High school / BUP / COU / FPII / CFGM Intermediate Grade
240,4,Women,Les Corts,la Maternitat i Sant Ramon,2825,20,High school / BUP / COU / FPII / CFGM Intermediate Grade
241,4,Women,Les Corts,Pedralbes,1461,21,High school / BUP / COU / FPII / CFGM Intermediate Grade
242,5,Women,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",535,22,High school / BUP / COU / FPII / CFGM Intermediate Grade
243,5,Women,Sarrià-Sant Gervasi,Sarrià,2791,23,High school / BUP / COU / FPII / CFGM Intermediate Grade
244,5,Women,Sarrià-Sant Gervasi,les Tres Torres,2176,24,High school / BUP / COU / FPII / CFGM Intermediate Grade
245,5,Women,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,3354,25,High school / BUP / COU / FPII / CFGM Intermediate Grade
246,5,Women,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,6544,26,High school / BUP / COU / FPII / CFGM Intermediate Grade
247,5,Women,Sarrià-Sant Gervasi,el Putxet i el Farró,3854,27,High school / BUP / COU / FPII / CFGM Intermediate Grade
248,6,Women,Gràcia,Vallcarca i els Penitents,1829,28,High school / BUP / COU / FPII / CFGM Intermediate Grade
249,6,Women,Gràcia,el Coll,907,29,High school / BUP / COU / FPII / CFGM Intermediate Grade
250,6,Women,Gràcia,la Salut,1560,30,High school / BUP / COU / FPII / CFGM Intermediate Grade
251,6,Women,Gràcia,la Vila de Gràcia,5443,31,High school / BUP / COU / FPII / CFGM Intermediate Grade
252,6,Women,Gràcia,el Camp d'en Grassot i Gràcia Nova,4103,32,High school / BUP / COU / FPII / CFGM Intermediate Grade
253,7,Women,Horta-Guinardó,el Baix Guinardó,3111,33,High school / BUP / COU / FPII / CFGM Intermediate Grade
254,7,Women,Horta-Guinardó,Can Baró,989,34,High school / BUP / COU / FPII / CFGM Intermediate Grade
255,7,Women,Horta-Guinardó,el Guinardó,4529,35,High school / BUP / COU / FPII / CFGM Intermediate Grade
256,7,Women,Horta-Guinardó,la Font d'en Fargues,1069,36,High school / BUP / COU / FPII / CFGM Intermediate Grade
257,7,Women,Horta-Guinardó,el Carmel,3221,37,High school / BUP / COU / FPII / CFGM Intermediate Grade
258,7,Women,Horta-Guinardó,la Teixonera,1285,38,High school / BUP / COU / FPII / CFGM Intermediate Grade
259,7,Women,Horta-Guinardó,Sant Genís dels Agudells,889,39,High school / BUP / COU / FPII / CFGM Intermediate Grade
260,7,Women,Horta-Guinardó,Montbau,625,40,High school / BUP / COU / FPII / CFGM Intermediate Grade
261,7,Women,Horta-Guinardó,la Vall d'Hebron,667,41,High school / BUP / COU / FPII / CFGM Intermediate Grade
262,7,Women,Horta-Guinardó,la Clota,65,42,High school / BUP / COU / FPII / CFGM Intermediate Grade
263,7,Women,Horta-Guinardó,Horta,3282,43,High school / BUP / COU / FPII / CFGM Intermediate Grade
264,8,Women,Nou Barris,Vilapicina i la Torre Llobeta,2997,44,High school / BUP / COU / FPII / CFGM Intermediate Grade
265,8,Women,Nou Barris,Porta,3106,45,High school / BUP / COU / FPII / CFGM Intermediate Grade
266,8,Women,Nou Barris,el Turó de la Peira,1686,46,High school / BUP / COU / FPII / CFGM Intermediate Grade
267,8,Women,Nou Barris,Can Peguera,184,47,High school / BUP / COU / FPII / CFGM Intermediate Grade
268,8,Women,Nou Barris,la Guineueta,1706,48,High school / BUP / COU / FPII / CFGM Intermediate Grade
269,8,Women,Nou Barris,Canyelles,571,49,High school / BUP / COU / FPII / CFGM Intermediate Grade
270,8,Women,Nou Barris,les Roquetes,1394,50,High school / BUP / COU / FPII / CFGM Intermediate Grade
271,8,Women,Nou Barris,Verdun,1280,51,High school / BUP / COU / FPII / CFGM Intermediate Grade
272,8,Women,Nou Barris,la Prosperitat,2742,52,High school / BUP / COU / FPII / CFGM Intermediate Grade
273,8,Women,Nou Barris,la Trinitat Nova,659,53,High school / BUP / COU / FPII / CFGM Intermediate Grade
274,8,Women,Nou Barris,Torre Baró,208,54,High school / BUP / COU / FPII / CFGM Intermediate Grade
275,8,Women,Nou Barris,Ciutat Meridiana,841,55,High school / BUP / COU / FPII / CFGM Intermediate Grade
