,District_Code,Sex,District,Neighborhood,Neighborhood_Code,Population,Five-Year_Age,Nationality
3534,6,Women,Gràcia,la Salut,30,201,30-34 years,Foreign
3535,6,Women,Gràcia,la Vila de Gràcia,31,1283,30-34 years,Foreign
3536,6,Women,Gràcia,el Camp d'en Grassot i Gràcia Nova,32,633,30-34 years,Foreign
3537,7,Women,Horta-Guinardó,el Baix Guinardó,33,417,30-34 years,Foreign
3538,7,Women,Horta-Guinardó,Can Baró,34,161,30-34 years,Foreign
3539,7,Women,Horta-Guinardó,el Guinardó,35,577,30-34 years,Foreign
3540,7,Women,Horta-Guinardó,la Font d'en Fargues,36,61,30-34 years,Foreign
3541,7,Women,Horta-Guinardó,el Carmel,37,474,30-34 years,Foreign
3542,7,Women,Horta-Guinardó,la Teixonera,38,173,30-34 years,Foreign
3543,7,Women,Horta-Guinardó,Sant Genís dels Agudells,39,109,30-34 years,Foreign
3544,7,Women,Horta-Guinardó,Montbau,40,92,30-34 years,Foreign
3545,7,Women,Horta-Guinardó,la Vall d'Hebron,41,41,30-34 years,Foreign
3546,7,Women,Horta-Guinardó,la Clota,42,5,30-34 years,Foreign
3547,7,Women,Horta-Guinardó,Horta,43,352,30-34 years,Foreign
3548,8,Women,Nou Barris,Vilapicina i la Torre Llobeta,44,280,30-34 years,Foreign
3549,8,Women,Nou Barris,Porta,45,497,30-34 years,Foreign
3550,8,Women,Nou Barris,el Turó de la Peira,46,282,30-34 years,Foreign
3551,8,Women,Nou Barris,Can Peguera,47,20,30-34 years,Foreign
3552,8,Women,Nou Barris,la Guineueta,48,127,30-34 years,Foreign
3553,8,Women,Nou Barris,Canyelles,49,35,30-34 years,Foreign
3554,8,Women,Nou Barris,les Roquetes,50,275,30-34 years,Foreign
3555,8,Women,Nou Barris,Verdun,51,231,30-34 years,Foreign
3556,8,Women,Nou Barris,la Prosperitat,52,346,30-34 years,Foreign
3557,8,Women,Nou Barris,la Trinitat Nova,53,129,30-34 years,Foreign
3558,8,Women,Nou Barris,Torre Baró,54,34,30-34 years,Foreign
3559,8,Women,Nou Barris,Ciutat Meridiana,55,245,30-34 years,Foreign
3560,8,Women,Nou Barris,Vallbona,56,15,30-34 years,Foreign
3561,9,Women,Sant Andreu,la Trinitat Vella,57,181,30-34 years,Foreign
3562,9,Women,Sant Andreu,Baró de Viver,58,27,30-34 years,Foreign
3563,9,Women,Sant Andreu,el Bon Pastor,59,189,30-34 years,Foreign
