,District_Code,Sex,District,Neighborhood,Neighborhood_Code,Population,Nationality
8212,8,Women,Nou Barris,Vallbona,56,0,United Kingdom
8213,9,Women,Sant Andreu,la Trinitat Vella,57,4,United Kingdom
8214,9,Women,Sant Andreu,Baró de Viver,58,0,United Kingdom
8215,9,Women,Sant Andreu,el Bon Pastor,59,1,United Kingdom
8216,9,Women,Sant Andreu,Sant Andreu,60,33,United Kingdom
8217,9,Women,Sant Andreu,la Sagrera,61,11,United Kingdom
8218,9,Women,Sant Andreu,el Congrés i els Indians,62,8,United Kingdom
8219,9,Women,Sant Andreu,Navas,63,21,United Kingdom
8220,10,Women,Sant Martí,el Camp de l'Arpa del Clot,64,95,United Kingdom
8221,10,Women,Sant Martí,el Clot,65,40,United Kingdom
8222,10,Women,Sant Martí,el Parc i la Llacuna del Poblenou,66,61,United Kingdom
8223,10,Women,Sant Martí,la Vila Olímpica del Poblenou,67,39,United Kingdom
8224,10,Women,Sant Martí,el Poblenou,68,177,United Kingdom
8225,10,Women,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,69,40,United Kingdom
8226,10,Women,Sant Martí,el Besòs i el Maresme,70,21,United Kingdom
8227,10,Women,Sant Martí,Provençals del Poblenou,71,30,United Kingdom
8228,10,Women,Sant Martí,Sant Martí de Provençals,72,17,United Kingdom
8229,10,Women,Sant Martí,la Verneda i la Pau,73,6,United Kingdom
8230,1,Women,Ciutat Vella,el Raval,1,147,Russia
8231,1,Women,Ciutat Vella,el Barri Gòtic,2,120,Russia
8232,1,Women,Ciutat Vella,la Barceloneta,3,85,Russia
8233,1,Women,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",4,157,Russia
8234,2,Women,Eixample,el Fort Pienc,5,100,Russia
8235,2,Women,Eixample,la Sagrada Família,6,150,Russia
8236,2,Women,Eixample,la Dreta de l'Eixample,7,229,Russia
8237,2,Women,Eixample,l'Antiga Esquerra de l'Eixample,8,151,Russia
8238,2,Women,Eixample,la Nova Esquerra de l'Eixample,9,176,Russia
8239,2,Women,Eixample,Sant Antoni,10,114,Russia
8240,3,Women,Sants-Montjuïc,el Poble Sec,11,102,Russia
8241,3,Women,Sants-Montjuïc,la Marina del Prat Vermell,12,3,Russia
8242,3,Women,Sants-Montjuïc,la Marina de Port,13,59,Russia
8243,3,Women,Sants-Montjuïc,la Font de la Guatlla,14,51,Russia
8244,3,Women,Sants-Montjuïc,Hostafrancs,15,71,Russia
8245,3,Women,Sants-Montjuïc,la Bordeta,16,28,Russia
8246,3,Women,Sants-Montjuïc,Sants - Badal,17,70,Russia
8247,3,Women,Sants-Montjuïc,Sants,18,88,Russia
8248,4,Women,Les Corts,les Corts,19,119,Russia
8249,4,Women,Les Corts,la Maternitat i Sant Ramon,20,63,Russia
8250,4,Women,Les Corts,Pedralbes,21,116,Russia
8251,5,Women,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",22,21,Russia
8252,5,Women,Sarrià-Sant Gervasi,Sarrià,23,79,Russia
8253,5,Women,Sarrià-Sant Gervasi,les Tres Torres,24,55,Russia
8254,5,Women,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,25,105,Russia
8255,5,Women,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,26,166,Russia
8256,5,Women,Sarrià-Sant Gervasi,el Putxet i el Farró,27,107,Russia
8257,6,Women,Gràcia,Vallcarca i els Penitents,28,62,Russia
8258,6,Women,Gràcia,el Coll,29,29,Russia
8259,6,Women,Gràcia,la Salut,30,32,Russia
8260,6,Women,Gràcia,la Vila de Gràcia,31,128,Russia
8261,6,Women,Gràcia,el Camp d'en Grassot i Gràcia Nova,32,79,Russia
8262,7,Women,Horta-Guinardó,el Baix Guinardó,33,46,Russia
8263,7,Women,Horta-Guinardó,Can Baró,34,34,Russia
8264,7,Women,Horta-Guinardó,el Guinardó,35,89,Russia
8265,7,Women,Horta-Guinardó,la Font d'en Fargues,36,12,Russia
8266,7,Women,Horta-Guinardó,el Carmel,37,94,Russia
8267,7,Women,Horta-Guinardó,la Teixonera,38,32,Russia
8268,7,Women,Horta-Guinardó,Sant Genís dels Agudells,39,25,Russia
8269,7,Women,Horta-Guinardó,Montbau,40,11,Russia
8270,7,Women,Horta-Guinardó,la Vall d'Hebron,41,17,Russia
8271,7,Women,Horta-Guinardó,la Clota,42,1,Russia
8272,7,Women,Horta-Guinardó,Horta,43,48,Russia
8273,8,Women,Nou Barris,Vilapicina i la Torre Llobeta,44,43,Russia
8274,8,Women,Nou Barris,Porta,45,86,Russia
8275,8,Women,Nou Barris,el Turó de la Peira,46,41,Russia
8276,8,Women,Nou Barris,Can Peguera,47,5,Russia
8277,8,Women,Nou Barris,la Guineueta,48,21,Russia
8278,8,Women,Nou Barris,Canyelles,49,7,Russia
8279,8,Women,Nou Barris,les Roquetes,50,41,Russia
8280,8,Women,Nou Barris,Verdun,51,29,Russia
8281,8,Women,Nou Barris,la Prosperitat,52,45,Russia
8282,8,Women,Nou Barris,la Trinitat Nova,53,23,Russia
8283,8,Women,Nou Barris,Torre Baró,54,3,Russia
8284,8,Women,Nou Barris,Ciutat Meridiana,55,48,Russia
8285,8,Women,Nou Barris,Vallbona,56,8,Russia
8286,9,Women,Sant Andreu,la Trinitat Vella,57,29,Russia
8287,9,Women,Sant Andreu,Baró de Viver,58,7,Russia
8288,9,Women,Sant Andreu,el Bon Pastor,59,32,Russia
8289,9,Women,Sant Andreu,Sant Andreu,60,73,Russia
8290,9,Women,Sant Andreu,la Sagrera,61,101,Russia
8291,9,Women,Sant Andreu,el Congrés i els Indians,62,48,Russia
8292,9,Women,Sant Andreu,Navas,63,45,Russia
8293,10,Women,Sant Martí,el Camp de l'Arpa del Clot,64,105,Russia
8294,10,Women,Sant Martí,el Clot,65,51,Russia
8295,10,Women,Sant Martí,el Parc i la Llacuna del Poblenou,66,68,Russia
8296,10,Women,Sant Martí,la Vila Olímpica del Poblenou,67,49,Russia
8297,10,Women,Sant Martí,el Poblenou,68,158,Russia
8298,10,Women,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,69,210,Russia
8299,10,Women,Sant Martí,el Besòs i el Maresme,70,203,Russia
8300,10,Women,Sant Martí,Provençals del Poblenou,71,99,Russia
8301,10,Women,Sant Martí,Sant Martí de Provençals,72,67,Russia
8302,10,Women,Sant Martí,la Verneda i la Pau,73,83,Russia
8303,1,Women,Ciutat Vella,el Raval,1,198,Germany
8304,1,Women,Ciutat Vella,el Barri Gòtic,2,146,Germany
8305,1,Women,Ciutat Vella,la Barceloneta,3,122,Germany
8306,1,Women,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",4,195,Germany
8307,2,Women,Eixample,el Fort Pienc,5,123,Germany
8308,2,Women,Eixample,la Sagrada Família,6,123,Germany
8309,2,Women,Eixample,la Dreta de l'Eixample,7,231,Germany
8310,2,Women,Eixample,l'Antiga Esquerra de l'Eixample,8,175,Germany
8311,2,Women,Eixample,la Nova Esquerra de l'Eixample,9,126,Germany
8312,2,Women,Eixample,Sant Antoni,10,147,Germany
8313,3,Women,Sants-Montjuïc,el Poble Sec,11,159,Germany
8314,3,Women,Sants-Montjuïc,la Marina del Prat Vermell,12,1,Germany
8315,3,Women,Sants-Montjuïc,la Marina de Port,13,18,Germany
8316,3,Women,Sants-Montjuïc,la Font de la Guatlla,14,20,Germany
8317,3,Women,Sants-Montjuïc,Hostafrancs,15,35,Germany
8318,3,Women,Sants-Montjuïc,la Bordeta,16,27,Germany
8319,3,Women,Sants-Montjuïc,Sants - Badal,17,25,Germany
8320,3,Women,Sants-Montjuïc,Sants,18,79,Germany
8321,4,Women,Les Corts,les Corts,19,81,Germany
8322,4,Women,Les Corts,la Maternitat i Sant Ramon,20,32,Germany
8323,4,Women,Les Corts,Pedralbes,21,38,Germany
8324,5,Women,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",22,31,Germany
8325,5,Women,Sarrià-Sant Gervasi,Sarrià,23,68,Germany
8326,5,Women,Sarrià-Sant Gervasi,les Tres Torres,24,42,Germany
8327,5,Women,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,25,65,Germany
8328,5,Women,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,26,148,Germany
8329,5,Women,Sarrià-Sant Gervasi,el Putxet i el Farró,27,92,Germany
8330,6,Women,Gràcia,Vallcarca i els Penitents,28,51,Germany
8331,6,Women,Gràcia,el Coll,29,16,Germany
8332,6,Women,Gràcia,la Vila de Gràcia,31,252,Germany
8333,6,Women,Gràcia,el Camp d'en Grassot i Gràcia Nova,32,69,Germany
8334,7,Women,Horta-Guinardó,el Baix Guinardó,33,29,Germany
8335,7,Women,Horta-Guinardó,Can Baró,34,27,Germany
8336,7,Women,Horta-Guinardó,el Guinardó,35,55,Germany
8337,7,Women,Horta-Guinardó,la Font d'en Fargues,36,7,Germany
8338,7,Women,Horta-Guinardó,el Carmel,37,32,Germany
8339,7,Women,Horta-Guinardó,la Teixonera,38,11,Germany
8340,7,Women,Horta-Guinardó,Sant Genís dels Agudells,39,13,Germany
8341,7,Women,Horta-Guinardó,Montbau,40,4,Germany
8342,7,Women,Horta-Guinardó,la Vall d'Hebron,41,8,Germany
8343,7,Women,Horta-Guinardó,la Clota,42,0,Germany
8344,7,Women,Horta-Guinardó,Horta,43,29,Germany
8345,8,Women,Nou Barris,Vilapicina i la Torre Llobeta,44,22,Germany
8346,8,Women,Nou Barris,Porta,45,12,Germany
8347,8,Women,Nou Barris,el Turó de la Peira,46,6,Germany
8348,8,Women,Nou Barris,Can Peguera,47,0,Germany
8349,8,Women,Nou Barris,la Guineueta,48,7,Germany
8350,8,Women,Nou Barris,Canyelles,49,2,Germany
8351,8,Women,Nou Barris,les Roquetes,50,5,Germany
